Gene ID	log2FoldChange	padj
GSBRNA2T00075625001	5.413623479	3.72E-07
GSBRNA2T00038175001	5.413384232	1.65E-08
GSBRNA2T00141057001	5.412958017	9.43E-18
GSBRNA2T00085444001	5.412085979	7.67E-10
GSBRNA2T00151674001	5.410109127	6.73E-06
GSBRNA2T00091741001	5.408049541	0.001990216
GSBRNA2T00015277001	5.40404414	7.42E-05
GSBRNA2T00035030001	5.402626734	8.68E-09
GSBRNA2T00064203001	5.398247669	0.001262175
GSBRNA2T00051870001	5.395677946	3.78E-14
GSBRNA2T00003568001	5.394887666	3.21E-06
GSBRNA2T00102029001	5.390795777	0.000742747
GSBRNA2T00097372001	5.390566744	2.95E-12
GSBRNA2T00094264001	5.380395219	6.16E-07
GSBRNA2T00147828001	5.379904817	9.44E-19
GSBRNA2T00091261001	5.375600098	0.000348851
GSBRNA2T00055607001	5.370766359	6.10E-06
GSBRNA2T00020843001	5.357098071	9.72E-06
GSBRNA2T00129918001	5.353826853	0.000886475
GSBRNA2T00052597001	5.351120116	5.96E-15
GSBRNA2T00058670001	5.34951925	5.24E-11
GSBRNA2T00000694001	5.349378946	2.96E-05
GSBRNA2T00081380001	5.332622676	3.65E-22
GSBRNA2T00151023001	5.331873539	3.28E-07
GSBRNA2T00027077001	5.327427504	1.49E-11
GSBRNA2T00047270001	5.327217521	2.68E-05
GSBRNA2T00052500001	5.32512	1.09E-05
GSBRNA2T00129452001	5.323807859	1.15E-47
GSBRNA2T00079369001	5.321625871	0.002746877
GSBRNA2T00136263001	5.313970164	4.32E-11
GSBRNA2T00117291001	5.313289813	6.78E-11
GSBRNA2T00057053001	5.313017436	6.46E-05
GSBRNA2T00132169001	5.311908493	4.26E-20
GSBRNA2T00068677001	5.311224299	9.16E-07
GSBRNA2T00155557001	5.311065473	0.001216638
GSBRNA2T00132725001	5.309480934	6.08E-10
GSBRNA2T00066768001	5.301092638	0.000288109
GSBRNA2T00136751001	5.300628454	5.68E-10
GSBRNA2T00104225001	5.300375016	4.27E-07
GSBRNA2T00078192001	5.298858269	3.77E-22
GSBRNA2T00047156001	5.29823305	4.59E-37
GSBRNA2T00030264001	5.294151515	8.41E-12
GSBRNA2T00068232001	5.292975483	5.41E-29
GSBRNA2T00001302001	5.288449003	4.92E-14
GSBRNA2T00126717001	5.286599664	1.45E-05
GSBRNA2T00101779001	5.28622217	2.12E-21
GSBRNA2T00089390001	5.279669772	2.28E-09
GSBRNA2T00019390001	5.279138605	7.61E-07
GSBRNA2T00129643001	5.276172022	0.000172873
GSBRNA2T00022656001	5.268262551	0.000124889
GSBRNA2T00119629001	5.259345852	2.61E-08
GSBRNA2T00041617001	5.256721258	9.73E-22
GSBRNA2T00073186001	5.252579792	9.63E-16
GSBRNA2T00068067001	5.252443268	2.67E-07
GSBRNA2T00062578001	5.24978426	9.15E-12
GSBRNA2T00102036001	5.245170335	3.07E-07
GSBRNA2T00058934001	5.240586201	8.82E-05
GSBRNA2T00114992001	5.234754205	0.000454637
GSBRNA2T00099880001	5.232140549	2.16E-29
GSBRNA2T00136157001	5.228773846	0.00091076
GSBRNA2T00050433001	5.226512491	3.32E-05
GSBRNA2T00058148001	5.22598028	3.88E-06
GSBRNA2T00048757001	5.214976175	0.002402724
GSBRNA2T00096414001	5.212957715	6.40E-09
GSBRNA2T00087207001	5.206106534	7.94E-06
GSBRNA2T00154713001	5.205865084	0.000105494
GSBRNA2T00051668001	5.202321381	8.67E-05
GSBRNA2T00121300001	5.194874722	2.29E-07
GSBRNA2T00042681001	5.19290799	0.000108668
GSBRNA2T00100519001	5.192153717	6.19E-06
GSBRNA2T00010607001	5.184726003	1.59E-12
GSBRNA2T00146054001	5.182346425	0.000116389
GSBRNA2T00126925001	5.170514517	0.000177069
GSBRNA2T00145946001	5.170387466	2.05E-05
GSBRNA2T00072664001	5.169987104	4.15E-05
GSBRNA2T00077050001	5.168559731	0.005959265
GSBRNA2T00146507001	5.166255311	6.35E-05
GSBRNA2T00002171001	5.164786965	0.000907485
GSBRNA2T00002827001	5.163932819	4.03E-11
GSBRNA2T00094506001	5.162908317	1.34E-08
GSBRNA2T00092271001	5.158202309	1.06E-22
GSBRNA2T00081306001	5.153343057	1.33E-05
GSBRNA2T00114776001	5.150660401	1.70E-06
GSBRNA2T00062214001	5.150342152	2.83E-16
GSBRNA2T00154503001	5.148731024	4.27E-05
GSBRNA2T00090811001	5.144807519	3.36E-10
GSBRNA2T00094565001	5.144403153	1.34E-28
GSBRNA2T00082384001	5.14432591	0.000231539
GSBRNA2T00126366001	5.143983515	3.57E-11
GSBRNA2T00072063001	5.135516085	0.000320115
GSBRNA2T00119824001	5.134731929	0.001770811
GSBRNA2T00129904001	5.13440191	2.29E-08
GSBRNA2T00141732001	5.12948369	5.78E-27
GSBRNA2T00022510001	5.123653189	2.45E-09
GSBRNA2T00001934001	5.123384932	2.68E-07
GSBRNA2T00092219001	5.120630232	7.01E-15
GSBRNA2T00066024001	5.115882845	2.05E-21
GSBRNA2T00106924001	5.110284742	0.000619804
GSBRNA2T00136386001	5.097700224	1.13E-07
GSBRNA2T00061540001	5.094926689	8.13E-05
GSBRNA2T00098856001	5.094689192	0.00013187
GSBRNA2T00000188001	5.094252049	2.95E-16
GSBRNA2T00152654001	5.090839709	0.000109641
GSBRNA2T00027617001	5.090588037	1.40E-26
GSBRNA2T00115257001	5.08953844	2.58E-05
GSBRNA2T00131398001	5.087653551	0.000121951
GSBRNA2T00027986001	5.08082303	0.002109455
GSBRNA2T00106713001	5.08010708	0.001873587
GSBRNA2T00058933001	5.079913963	0.000528167
GSBRNA2T00071376001	5.079851306	5.82E-06
GSBRNA2T00044503001	5.078762236	1.48E-06
GSBRNA2T00052390001	5.077956546	0.000235523
GSBRNA2T00126857001	5.076164458	5.83E-10
GSBRNA2T00151440001	5.065304422	1.08E-09
