Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00016155001	6.076142536	6.88E-05
GSBRNA2T00003270001	6.071805145	5.32E-16
GSBRNA2T00079211001	6.069408931	3.14E-09
GSBRNA2T00082069001	6.048210242	0.001162123
GSBRNA2T00150935001	6.043068484	0.000408467
GSBRNA2T00047460001	6.042350663	2.45E-06
GSBRNA2T00117041001	6.040297161	1.83E-07
GSBRNA2T00097409001	6.030528048	0.000206826
GSBRNA2T00063259001	6.029729225	5.60E-19
GSBRNA2T00119475001	6.027304213	7.91E-05
GSBRNA2T00074407001	6.026195533	2.89E-10
GSBRNA2T00078663001	6.022037352	1.66E-32
GSBRNA2T00047517001	6.021980358	1.17E-06
GSBRNA2T00008659001	6.019567437	3.98E-06
GSBRNA2T00082056001	6.009364271	8.90E-05
GSBRNA2T00005404001	6.007163063	2.04E-20
GSBRNA2T00066234001	6.001038575	7.26E-06
GSBRNA2T00016149001	5.98501245	0.00255987
GSBRNA2T00023076001	5.978526533	1.37E-09
GSBRNA2T00140447001	5.97663023	0.001435722
GSBRNA2T00045033001	5.976499608	4.86E-10
GSBRNA2T00010878001	5.97311588	0.000540955
GSBRNA2T00089721001	5.970885239	0.00034485
GSBRNA2T00095015001	5.970621555	0.002713791
GSBRNA2T00129456001	5.966696942	0.002554965
GSBRNA2T00064848001	5.964028031	1.94E-15
GSBRNA2T00157249001	5.96051423	0.001859943
GSBRNA2T00137392001	5.959330425	0.002703589
GSBRNA2T00000167001	5.952592658	0.002645328
GSBRNA2T00041617001	5.932377029	1.76E-05
GSBRNA2T00143917001	5.928740095	4.89E-06
GSBRNA2T00056691001	5.922044941	5.31E-07
GSBRNA2T00049240001	5.920714945	3.71E-08
GSBRNA2T00057309001	5.914528404	7.88E-06
GSBRNA2T00102877001	5.913621411	0.000356119
GSBRNA2T00121300001	5.902243476	6.33E-11
GSBRNA2T00081756001	5.899936407	0.001637413
GSBRNA2T00082353001	5.894952661	1.94E-23
GSBRNA2T00040770001	5.894875314	0.000113735
GSBRNA2T00114564001	5.890865503	0.001043946
GSBRNA2T00049681001	5.884092031	0.001073207
GSBRNA2T00154775001	5.881315312	4.84E-05
GSBRNA2T00057934001	5.862468811	3.58E-07
GSBRNA2T00130938001	5.858749556	3.05E-07
GSBRNA2T00132085001	5.855247011	2.14E-09
GSBRNA2T00126366001	5.847880617	1.89E-10
GSBRNA2T00081357001	5.836731209	1.20E-08
GSBRNA2T00032032001	5.823342809	7.60E-14
GSBRNA2T00117673001	5.821376558	8.18E-19
GSBRNA2T00138276001	5.820147488	0.0023843
GSBRNA2T00142536001	5.818735334	9.72E-06
GSBRNA2T00056741001	5.815292734	0.000168715
GSBRNA2T00129851001	5.807149552	1.68E-13
GSBRNA2T00100453001	5.798312645	5.06E-12
GSBRNA2T00036181001	5.797981106	4.40E-10
GSBRNA2T00053924001	5.794326971	1.11E-10
GSBRNA2T00061285001	5.791633527	0.000115658
GSBRNA2T00117038001	5.763597282	2.51E-14
GSBRNA2T00102606001	5.7608387	4.17E-05
GSBRNA2T00017807001	5.755342639	2.09E-10
GSBRNA2T00123793001	5.750100476	7.60E-09
GSBRNA2T00091422001	5.748281479	2.66E-09
GSBRNA2T00132775001	5.743885652	2.57E-05
GSBRNA2T00149173001	5.738109877	0.001256485
